review_id,viewer_id,movie_id,rating,review_text,review_date
1,78,10,5,The Comedy Club is a decent watch if you have nothing else.,2025-01-17
2,31,41,1,Poor execution. Sci-Fi deserves better than Galactic Empire.,2025-02-01
3,4,8,2,Couldn't finish Love in Paris. Too slow and unengaging.,2025-01-01
4,117,38,9,Cosmic Drift exceeded all my expectations. Highly recommended!,2024-12-14
5,6,45,10,One of the best Sci-Fi films I've seen this year.,2025-03-30
6,188,45,3,The plot of Time Warp was predictable and boring.,2025-03-29
7,102,44,7,Absolutely loved this movie! Rogue Agent was a masterpiece.,2025-04-12
8,128,28,8,One of the best Thriller films I've seen this year.,2025-02-01
9,4,37,1,Couldn't finish Heartstrings. Too slow and unengaging.,2025-03-30
10,198,18,5,Red Alert is a decent watch if you have nothing else.,2025-01-18
11,69,2,5,Average Sci-Fi film. Dark Orbit had some good moments.,2025-01-01
12,177,29,1,Couldn't finish Funny Business. Too slow and unengaging.,2025-04-09
13,145,28,9,A must-watch! Broken Compass delivers on every level.,2024-08-24
14,60,46,1,Not worth the hype. Secret Garden was mediocre at best.,2024-10-27
15,23,39,6,The Prankster is a decent watch if you have nothing else.,2024-09-02
16,140,11,6,Mixed feelings about Quantum Break. Some parts were great.,2024-07-23
17,139,10,6,Mixed feelings about The Comedy Club. Some parts were great.,2024-10-05
18,45,38,7,Cosmic Drift exceeded all my expectations. Highly recommended!,2024-09-04
19,89,50,5,Average Drama film. Parallel Lives had some good moments.,2024-05-22
20,193,32,9,One of the best Comedy films I've seen this year.,2024-10-29
21,111,6,10,Crimson Tide II exceeded all my expectations. Highly recommended!,2025-02-20
22,86,23,8,One of the best Comedy films I've seen this year.,2024-07-29
23,175,11,1,Not worth the hype. Quantum Break was mediocre at best.,2024-08-15
24,161,10,10,The Comedy Club exceeded all my expectations. Highly recommended!,2024-07-29
25,162,48,3,Waste of time. The acting in Code Red felt forced.,2025-02-19
26,53,45,7,Absolutely loved this movie! Time Warp was a masterpiece.,2024-09-29
27,29,33,9,Absolutely loved this movie! Mars Colony was a masterpiece.,2024-08-08
28,27,37,1,Not worth the hype. Heartstrings was mediocre at best.,2024-07-24
29,171,11,4,Couldn't finish Quantum Break. Too slow and unengaging.,2024-05-03
30,86,32,2,Not worth the hype. The Stand-up was mediocre at best.,2024-10-22
31,141,26,9,A must-watch! Deep Blue delivers on every level.,2024-10-12
32,57,37,6,Heartstrings is a decent watch if you have nothing else.,2024-05-14
33,193,7,4,Couldn't finish The Final Frontier. Too slow and unengaging.,2024-06-06
34,117,10,4,Couldn't finish The Comedy Club. Too slow and unengaging.,2025-05-01
35,130,7,8,Great storytelling and cinematography in The Final Frontier.,2025-03-26
36,178,20,4,Poor execution. Comedy deserves better than Dark Comedy Hour.,2024-11-27
37,54,35,2,The plot of Nature's Fury was predictable and boring.,2025-04-19
38,5,2,5,Dark Orbit was okay. Nothing special but not terrible.,2025-01-15
39,48,50,2,Disappointing. Parallel Lives failed to deliver on its promise.,2024-12-23
40,116,8,7,Love in Paris exceeded all my expectations. Highly recommended!,2024-05-28
41,104,1,10,Stellar Run exceeded all my expectations. Highly recommended!,2024-11-07
42,100,24,4,Not worth the hype. Binary Stars was mediocre at best.,2024-09-24
43,159,38,8,A must-watch! Cosmic Drift delivers on every level.,2024-06-21
44,152,3,8,Absolutely loved this movie! Last Kingdom was a masterpiece.,2024-08-19
45,82,23,1,Not worth the hype. The Last Joke was mediocre at best.,2024-05-08
46,122,25,9,Incredible visuals and plot. Haunted Manor is a gem.,2025-03-12
47,109,45,10,The acting in Time Warp was phenomenal. Will watch again.,2024-11-03
48,176,32,1,Poor execution. Comedy deserves better than The Stand-up.,2025-04-12
49,125,49,2,Poor execution. Comedy deserves better than Happy Endings.,2024-12-23
